lc,quantity,serving_size,packaging_tags,brands_tags,categories_tags,labels_tags,countries_tags,stores_tags,allergens_tags,traces_tags,nutrition_data_per,nutrition_data_prepared_per,energy-kj_value,energy-kcal_value,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,fiber_value,fiber_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,vitamin-d_value,vitamin-d_unit,calcium_value,calcium_unit,iron_value,iron_unit,packaging_1_shape,packaging_1_material,packaging_2_shape,packaging_2_material,link,off:food_groups,off:food_groups_tags,off:nova_groups,off:nova_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_grade,off:ecoscore_score,off:ecoscore_data.missing_key_data,off:ecoscore_data.agribalyse.code,off:ecoscore_data.adjustments.origins_of_ingredients.value,off:ecoscore_data.adjustments.packaging.value,off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials,off:ecoscore_data.adjustments.production_system.value,off:ecoscore_data.adjustments.threatened_species.value,data_sources,product_name,ingredients
es,480ml,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Chamyto frutilla,
es,130,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - Open Food Facts, Apps",Chandelle lucuma,
es,200,100g,"en:green-dot,es:envase-en-carton",nestle,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:meat-alternatives,en:meat-analogues,en:breaded-products,en:vegetarian-nuggets,en:vegan-nuggets","en:vegetarian,en:source-of-fibre,en:source-of-proteins,en:vegan,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:green-dot,en:high-proteins,en:nutriscore,en:nutriscore-grade-a",en:spain,consum,"en:gluten,en:soybeans","en:celery,en:eggs,en:mustard,en:sesame-seeds",100g,100g,900.0,215.0,10.2,g,0.7,g,15.0,g,0.7,g,5.7,g,13.1,g,1.0,g,0.4,g,900.0,kJ,,,,,,,,,,,https://www.gardengourmet.es/producto/nuggets,,,4.0,en:4-ultra-processed-food-and-drink-products,a,-4.0,b,66.0,1.0,25227.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo, App - Open Food Facts",Garden Gourmet Nuggets,"Proteína de _soja_ rehidratada 37,2% (agua, concentrado de proteína de _soja_ 15,5%), agua, pan rallado (harina de _trigo_, agua, aceite de nabina, levadura, sal, extracto de pimentón), aceites vegetales (girasol, nabina), harina de _trigo_, almidón de maíz, vinagre de alcohol, estabilizante (metilcelulosa, goma guar), fibra de cítricos, aromas naturales, sal, cebolla en polvo, ajo en polvo, corrector de acidez (hidróxido de potasio)."
es,180 ,180 g,es:envase-en-carton,"garden-gourmet,nestle","en:plant-based-foods-and-beverages,en:plant-based-foods,en:meat-alternatives,en:meat-analogues,en:vegetarian-patties","en:vegetarian,en:source-of-fibre,en:european-vegetarian-union,en:european-vegetarian-union-vegetarian,en:nutriscore,en:nutriscore-grade-a","en:france,en:spain",,"en:gluten,en:soybeans","en:celery,en:mustard,en:sesame-seeds",100g,100g,765.0,183.0,7.5,g,0.9,g,9.3,g,3.2,g,5.0,g,17.0,g,1.2,g,0.48,g,765.0,kJ,,,,,,,,,,,,,,4.0,en:4-ultra-processed-food-and-drink-products,a,-3.0,b,61.0,1.0,20914.0,-5,-15,1,0,,"App - elcoco, App - yuka, Apps, App - El CoCo",Burger deluxe,"Agua, proteína de soja (11,6%), aceites vegetales en proporción variable (nabina, girasol), proteína de trigo (4,2%), clara de huevo en polvo, cebolla en copos deshidratada, harina de trigo (2,8%), puré de manzana, vinagre de alcohol, plantas aromáticas (perejil, cilantro), almidón de maíz y de patata, especias (cebolla, ajo, pimienta negra), copos de patata deshidratada, extracto de levadura, sal, extracto de malta de cebada, levadura, aroma (contiene trigo), extracto de especias (jengibre, pimienta negra, pimentón)."
es,34 ,34,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:bars,en:chocolate-candies,en:bars-covered-with-chocolate","en:nutriscore,en:nutriscore-grade-e,en:rainforest-alliance,en:rainforest-alliance-cocoa",en:spain,,"en:gluten,en:milk","en:nuts,en:peanuts,en:soybeans",serving,100g,768.0,184.0,10.7,g,5.6,g,19.8,g,15.1,g,0.7,g,1.8,g,0.08,g,0.032,g,768.0,kJ,,,,,,,,,,,,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",4.0,en:4-ultra-processed-food-and-drink-products,unknown,,unknown,,1.0,,-5,-15,1,10,-10.0,"App - smoothie-openfoodfacts, Apps",NESTLÉ JUNGLY BARRITAS,"Chocolate con LECHE (32,6%) [azúcar, manteca de cacao, pasta de cacao, LECHE desnatada en polvo, suero de LECHE en polvo, grasa LÁCTEA anhidra, grasas vegetales (palma, shea), emulgente (lecitinas)], chocolate negro (11,7%) [azúcar, pasta de cacao, manteca de cacao, cacao desgrasado en polvo, grasas vegetales (palma, shea), grasa LÁCTEA anhidra, emulgente (E 476)), grasa de palma, azúcar, harina de TRIGO, galleta (8,2%) [harina de TRIGO, grasa de palma, azúcar, jarabe de glucosa, gasificantes (carbonatos de sodio, carbonatos de amonio), sal, aroma], suero de LECHE en polvo, cacao desgrasado en polvo, LECHE desnatada en polvo, gasificantes (carbonatos de amonio, carbonatos de sodio), maltodextrina, emulgentes (lecitinas, E 476), sal. Puede contener CACAHUETES, FRUTOS DE CÁSCARA Y SOJA."
es,,,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:bars,en:chocolate-candies,en:bars-covered-with-chocolate",,"en:france,en:spain",,,,100g,100g,,529.0,28.6,g,16.6,g,59.5,g,49.7,g,,,7.7,g,0.24,g,0.096,g,529.0,kcal,,,,,,,,,,,,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",,unknown,e,27.0,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, App - yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts",Chunky,
fr,,,,nestle,"en:dairies,en:condensed-milks",,"en:france,en:spain",,,,100g,100g,,326.0,8.5,g,4.9,g,54.7,g,54.7,g,,,7.7,g,0.26,g,0.104,g,326.0,kcal,,,,,,,,,,,,,,,unknown,e,19.0,b,65.0,1.0,19026.0,-5,-15,1,0,,"App - elcoco, App - yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts",Leche condensada,
es,200 ,"27,4 g","en:plastic,en:container",nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons",en:natural-flavors,en:spain,,"en:gluten,en:milk,en:nuts","en:eggs,en:nuts",100g,100g,2302.0,552.0,33.6,g,17.3,g,54.2,g,51.7,g,2.7,g,6.8,g,0.18,g,0.072,g,2302.0,kJ,,,,,,,,en:plastic,,,,en:sweets,"en:sugary-snacks,en:sweets",4.0,en:4-ultra-processed-food-and-drink-products,e,24.0,unknown,,,,-5,-10,1,0,-10.0,"App - elcoco, App - yuka, Apps, App - El CoCo",Caja Roja,"Azúcar, cacao, manteca de cacao, leche, grasa vegetal (palma, shea), grasa láctea, avellanas, leche en polvo, suero de leche en polvo, leche desnatada en polvo, almendras, mantequilla, maltodextrina, harina de trigo, malta de trigo y cebada en polvo, mantequilla concentrada, malta de cebada, cacao desgrasado emulgente lecitina de girasol, sal, aromas naturales de vainilla, aroma natural de naranja, aromas naturales."
es,,,,nestle,en:suplementos-dieteticos,"en:no-gluten,en:sin-azucares-anadidos",en:spain,,,,100g,100g,,355.0,2.0,g,1.6,g,52.0,g,47.0,g,,,31.0,g,1.0,g,0.4,g,355.0,kcal,,,,,,,,,,,,,,,unknown,e,19.0,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Meritene,
en,,4.0g,,nestle,,,en:spain,,,,100g,100g,,359.0,0.200000002980232,g,,,78.5999984741211,g,5.19999980926514,g,7.69999980926514,g,6.90000009536743,g,,,,,359.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Cevada chicoria e centeio,
es,,,,nestle,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:flakes",en:no-gluten,en:spain,,,,100g,100g,,356.0,5.7,g,4.8,g,70.3,g,9.0,g,10.4,g,2.3,g,3.9,g,1.56,g,356.0,kcal,,,,,,,,,,,,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",,unknown,d,14.0,d,25.0,1.0,32135.0,-5,-15,1,0,,"App - Yuka, Apps, App - El CoCo",Gofree,
es,290,,,nestle,"en:beverages,en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:instant-beverages,en:chocolate-powders,en:cacaos-y-chocolates-en-polvo","en:no-gluten,en:rainforest-alliance",en:spain,,,en:soybeans,100g,100g,,343.0,11.0,g,6.4,g,19.9,g,12.0,g,33.0,g,41.0,g,0.12,g,0.048,g,343.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,c,44.0,1.0,18104.0,-5,-15,1,10,,"App - yuka, Apps, App - El CoCo",Nesquik intenso,Cocea coo0anian.com : Cacao* natural desgrasado en polvo. Puede contener soja. *Rainforest Alliance Certified. Contiene azúcares naturalmente presentes. Consumir preferentemente antes del fin de: ver base del bote. Cacao desgrasado en polvo. Manteca de cacao 11%. Conservar en lugar fresco Y seco. NESTLÉESPAÑASACE O8950 EspluqUes de abn Recuerda que la tapa y la lata son 100% reciclables METAL se reckCa Dara sienpre RECICLA
en,200 ,"16,6g",,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons,en:chocolates,en:dark-chocolates",en:pure-cocoa-butter,"en:germany,en:spain",lidl,en:milk,,100g,100g,1797.0,427.0,12.9,g,7.4,g,73.9,g,67.3,g,2.7,g,2.2,g,0.07,g,0.028,g,1797.0,kJ,,,,,,,,,,,,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",4.0,en:4-ultra-processed-food-and-drink-products,e,20.0,e,15.0,1.0,31080.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo, App - InFood, App - IsVe, App - Open Food Facts",After Eight - Orange & mint flavour,"Azúcar, cacao, jarabe de glucosa, manteca de cacao, grasa _láctea_, _leche_ desnatada en polvo, suero de _leche_ en polvo, aroma natural de naranja, estabilizante (invertasa), emulgente (lecitinas), sal, aceite de menta, acidulante (ácido citrico),"
en,250 ,100g,es:papel-plastico,"nestle,nestum","en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals","en:nutriscore,en:nutriscore-grade-b","en:france,en:portugal,en:spain","continente,pingo-doce","en:gluten,en:milk,en:soybeans","en:milk,en:soybeans",100g,100g,,391.0,3.0,g,0.5,g,78.0,g,24.0,g,5.0,g,10.4,g,0.06,g,0.024,g,391.0,kcal,,,,,,,,en:plastic,,,,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",4.0,en:4-ultra-processed-food-and-drink-products,a,-1.0,d,30.0,,32135.0,-5,-10,1,0,,"App - yuka, Apps, App - InFood",Nestum Chocolate,"wheat flour and hydrolyzed wheat (75,5%), sugar, pieces of milk chocolate (4,6%)[sugar, milk powder, cocoa butter, cocoa paste, emulsifier (soy lecithin)], cocoa powder (4,5%), inulin, calcium carbonate, vitamins (c, thiamine, riboflavin, niacin, b6, folic acid, b12, pantothenic acid), reduced iron, aroma (vanillin),"
es,50,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Chocolatina Nestlé,
es,1 L.,,,nestle,"en:beverages,en:energy-drinks",en:green-dot,"en:france,en:spain",,,,100g,100g,,18.0,0.0,g,0.0,g,4.4000000953674,g,4.4000000953674,g,,,0.0,g,0.059999998658895,g,0.023999999463558,g,18.0,kcal,,,,,,,,,,,,,,,unknown,d,6.0,not-applicable,,1.0,,-5,-15,1,0,,"App - elcoco, App - yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts",Aquarius Limón,
es,1 L.,,,nestle,en:beverages,,"en:france,en:spain",,,,100g,100g,,19.0,0.0,g,0.0,g,4.5,g,4.5,g,,,0.0,g,0.06,g,0.024,g,19.0,kcal,,,,,,,,,,,,,,,unknown,d,6.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo, App - smoothie-openfoodfacts",Aquarius Naranja,
ca,150 ,3 g,en:glass,nestle,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains","en:green-dot,en:no-added-sugar,es:no-vegan",en:spain,,en:gluten,,100g,100g,,54.0,1.65,g,1.0,g,6.05,g,5.0,g,0.15,g,3.5,g,0.1,g,0.04,g,54.0,kcal,,,,,,,,en:glass,,,,en:cereals,"en:cereals-and-potatoes,en:cereals",1.0,en:1-unprocessed-or-minimally-processed-foods,a,-1.0,unknown,,,,-5,-2,0,0,,"App - elcoco, App - yuka, Apps, App - El CoCo, App - smoothie-openfoodfacts",Eko Magnesio,"Cebada (56,3%), centeno (187%), achicoria (18,7%), sulfato de magnesio (6,3%)."
fr,200 ml,,,"san-pellegrino,nestle",en:beverages,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Aranciata,
it,,250 ml,,"san-pellegrino,nestle","en:beverages,en:carbonated-drinks,en:sodas,en:chinotto,it:chinotto",,"en:france,en:spain,en:switzerland",,,,100g,100g,180.0,42.0,0.0,g,0.0,g,25.0,g,25.0,g,0.0,g,0.0,g,0.1,g,0.04,g,180.0,kJ,,,,,,,,,,,,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",3.0,en:3-processed-foods,e,16.0,not-applicable,,1.0,,-5,-15,1,0,,"App - yuka, Apps, Database - FoodRepo / openfood.ch, Databases, App - El CoCo, App - InFood",,"ascorbic acid, salt,"
es,,,,"san-pellegrino,nestle",en:beverages,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Sanpellegrino aranciata bio,
es,4,,,"san-pellegrino,nestle","en:beverages,en:carbonated-drinks,en:sodas,en:lemonade",,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",,unknown,unknown,,not-applicable,,1.0,,-5,-15,1,0,,,SA PELLEGRINO - LIMONATA,
es,4,,,"san-pellegrino,nestle","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:sodas,en:beverages-with-orange",,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",,unknown,unknown,,not-applicable,,1.0,,-5,-15,1,0,,,San Pellegrino - Aranciata naturali,
es,6pcs,,,"san-pellegrino,nestle","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:sodas,en:beverages-with-orange",,"en:germany,en:spain",,,,serving,100g,624.0,149.0,0.0,g,0.0,g,8.1,g,8.1,g,90.0,g,0.1,g,9.0,g,3.6,g,624.0,kJ,,,,,,,,,,,,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",4.0,en:4-ultra-processed-food-and-drink-products,unknown,,not-applicable,,1.0,,-5,-15,1,0,,"App - Yuka, Apps, App - smoothie-openfoodfacts, App - Speisekammer",Naturali,"Agua, zumo de naranja a partir de concentrado 16%, azúcar, anhídrido carbónico, zumo concentrado de limón, extracto de naranja 0,1%, aroma natural de naranja."
es,,,,"san-pellegrino,nestle",en:beverages,,en:spain,,,,100g,100g,,0.0,,,,,,,,,,,,,,,,,0.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Agua con gas sabor naranja sanguina y frambuesa negra,
es,500 ml,,en:plastic,"san-pellegrino,nestle","en:beverages,en:carbonated-drinks,en:waters,en:spring-waters,en:mineral-waters,en:carbonated-waters,en:flavored-waters,en:flavored-spring-waters",es:essenza,en:spain,,,,100g,100g,4.0,1.0,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,4.0,kJ,,,,,,,en:bottle,en:plastic,,,,en:waters-and-flavored-waters,"en:beverages,en:waters-and-flavored-waters",4.0,en:4-ultra-processed-food-and-drink-products,b,1.0,not-applicable,,,,-5,-10,1,0,,"App - yuka, Apps, App - Open Food Facts",Agua con gas sabor mandarina y fresa,"AGUA MINERAL NATURAL (99%), ANHÍDRIDO CARBONICO, AROMA NATURAL DE MANDARINA CON OTROS AROMAS NATURALES, AROMA NATURAL DE FRESA CON OTROS AROMAS NATURALES."
es,,,,"san-pellegrino,nestle",en:beverages,en:green-dot,en:spain,,,,100g,100g,,37.0,0.0,g,0.0,g,8.3,g,8.3,g,0.0,g,0.0,g,0.0,g,0.0,g,37.0,kcal,,,,,,,,,,,,,,,unknown,e,12.0,unknown,,1.0,,-5,-15,1,0,,"App - Yuka, Apps",Italian sparkling water,
es,505 ml,,,"san-pellegrino,nestle","en:beverages,en:carbonated-drinks,en:waters,en:carbonated-waters",,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en:waters-and-flavored-waters,"en:beverages,en:waters-and-flavored-waters",1.0,en:1-unprocessed-or-minimally-processed-foods,unknown,,not-applicable,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",S. pellegrino 505ML Con Gas,
fr,,,,"san-pellegrino,nestle","en:beverages,en:snacks,en:salty-snacks,en:appetizers",,"en:france,en:spain",,,,100g,100g,,21.0,0.0,g,0.0,g,4.5,g,4.5,g,,,0.0,g,0.02,g,0.008,g,21.0,kcal,,,,,,,,,,,,en:appetizers,"en:salty-snacks,en:appetizers",,unknown,d,6.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo",Sanbitter Emozioni,
es,200 ml,,,"san-pellegrino,nestle","en:beverages,en:carbonated-drinks,en:sodas,en:lemonade",,en:spain,,,,100g,100g,,37.0,0.0,g,0.0,g,8.3999996185303,g,2.0,g,,,0.0,g,,,,,37.0,kcal,,,,,,,,,,,,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",,unknown,unknown,,not-applicable,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Limonata,
es,,,,"san-pellegrino,nestle","en:beverages,en:carbonated-drinks,en:sodas,en:lemonade","en:organic,en:eu-organic,en:it-bio-007",en:spain,,,,100g,100g,,37.0,0.0,g,0.0,g,8.4,g,7.8,g,,,0.0,g,,,,,37.0,kcal,,,,,,,,,,,,en:sweetened-beverages,"en:beverages,en:sweetened-beverages",,unknown,unknown,,not-applicable,,1.0,,-5,-15,1,15,,"App - yuka, Apps",Limonada bio,
es,,,,"san-pellegrino,nestle",en:beverages,en:nutriscore,en:spain,,,,100g,100g,,1.0,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,1.0,kcal,,,,,,,,,,,,,,,unknown,b,1.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",S PELLEGRINO,
es,,,,"san-pellegrino,nestle",en:beverages,,en:spain,,,,100g,100g,,1.0,0.0,g,0.0,g,0.0,g,0.0,g,,,0.0,g,0.0,g,0.0,g,1.0,kcal,,,,,,,,,,,,,,,unknown,b,1.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Bebida aromatizada,
es,200 ml,,,"san-pellegrino,nestle",en:beverages,,en:spain,,,,100g,100g,,22.0,0.0,g,0.0,g,4.7,g,4.7,g,,,0.0,g,0.0,g,0.0,g,22.0,kcal,,,,,,,,,,,,,,,unknown,d,8.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Limonata,
es,24,,,"san-pellegrino,nestle",en:beverages,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,SAN PELLEGRINO - Agua con gas,
fr,1 L,,"en:plastic,en:pet-polyethylene-terephthalate,en:bottle,en:box,en:ldpe-cap,fr:green-dot","san-pellegrino,nestle","en:beverages,en:carbonated-drinks,en:waters,en:spring-waters,en:mineral-waters,en:non-alcoholic-beverages,en:unsweetened-beverages,en:carbonated-waters,en:carbonated-mineral-waters","en:green-dot,fr:triman","en:belgium,en:france,en:spain","magasins-u,delhaize,mercadona,carrefour-fr",,,100g,100g,0.0001,0.0,0.0,g,0.0,g,0.0,g,0.0,g,,,0.0,g,0.0078,mg,3.12,mg,0.0001,kJ,,,16.4,mg,,,en:bottle,en:pet-1-polyethylene-terephthalate,en:bottle-cap,en:ldpe-4-low-density-polyethylene,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",4.0,en:4-ultra-processed-food-and-drink-products,a,0.0,not-applicable,,,,-5,-15,0,0,,"Producers, Producer - nestle-waters, Database - Equadis, Database - GDSN, Databases, App - Horizon, Apps",Agua mineral natural gasificada,"Agua, gas carbónico."
fr,,,,"san-pellegrino,nestle","en:beverages,en:carbonated-drinks,en:waters,en:carbonated-waters",,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en:waters-and-flavored-waters,"en:beverages,en:waters-and-flavored-waters",1.0,en:1-unprocessed-or-minimally-processed-foods,unknown,,not-applicable,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo",Agua Efervecente Spellegrino,
fr,1,,en:glass,"acqua-panna,san-pellegrino,nestle","en:beverages,en:waters,en:spring-waters,en:mineral-waters,en:natural-mineral-waters",,"en:france,en:spain,en:switzerland",,,,100g,100g,,0.0,0.0,g,0.0,g,0.0,g,0.0,g,,,0.0,g,,,,,0.0,kcal,,,,,,,,en:glass,,,,en:waters-and-flavored-waters,"en:beverages,en:waters-and-flavored-waters",1.0,en:1-unprocessed-or-minimally-processed-foods,a,0.0,not-applicable,,,,-5,-2,0,0,,"App - yuka, Apps, Database - FoodRepo / openfood.ch, Databases, App - El CoCo, App - Open Food Facts",eau,
fr,,1 L,en:bottle,"san-pellegrino,nestle","en:beverages,en:carbonated-drinks,en:waters,en:spring-waters,en:mineral-waters,en:non-alcoholic-beverages,en:carbonated-waters,en:natural-mineral-waters,en:carbonated-natural-mineral-waters",en:green-dot,"en:france,en:spain",,,,serving,100g,,0.0,0.0,g,0.0,g,0.0,g,0.0,g,,,0.0,g,0.078,mg,31.2,mg,0.0,kcal,,,164.0,mg,,,en:bottle,,,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",,unknown,a,0.0,not-applicable,,,,-5,-10,0,0,,"App - elcoco, App - yuka, Apps, App - El CoCo",San Pellegrino Mineral Water,Agua mineral natural con gas carbónico añadido.
fr,1 l,,"en:plastic,en:pet-polyethylene-terephthalate,fr:green-dot","san-pellegrino,nestle","en:beverages,en:carbonated-drinks,en:waters,en:spring-waters,en:mineral-waters,en:non-alcoholic-beverages,en:carbonated-waters",en:green-dot,"en:france,en:spain",mercadona,,,100g,100g,,,,,,,,,,,,,,,0.0078,mg,3.12,mg,,,,,16.4,mg,,,,en:pet-1-polyethylene-terephthalate,,,,en:unsweetened-beverages,"en:beverages,en:unsweetened-beverages",,unknown,a,0.0,not-applicable,,,,-5,-8,0,0,,"App - yuka, Apps",Agua mineral natural gasificada,"Agua, gas carbónico."
fr,,,,"san-pellegrino,nestle","en:beverages,en:carbonated-drinks",,en:spain,,,,100g,100g,,0.0,0.0,g,0.0,g,0.0,g,0.0,g,,,0.0,g,0.0,g,0.0,g,0.0,kcal,,,,,,,,,,,,,,,unknown,b,0.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo",Agua Mineral Natural Spellegring,
en,,16.8g,,nestle,,,en:spain,,,,100g,100g,,551.0,32.5,g,16.7000007629395,g,58.5,g,46.0999984741211,g,1.70000004768372,g,5.0,g,,,,,551.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Dinosaurios,
fr,300 ,"17.2 g (2 feuilles (17,2 g) pour 17.2 g)","en:box,en:cardboard,en:sleeve,en:card-carton,en:mixed-plastic-film,en:paper-tray,en:paper-wrapper",nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolates,en:dark-chocolates,en:filled-chocolates,en:dark-chocolate-filled-with-mint-confectionery","en:vegetarian,en:nestle-cocoa-plan,en:rainforest-alliance,en:rainforest-alliance-cocoa,fr:triman","en:belgium,en:france,en:spain,en:united-kingdom","leclerc,asda,magasins-u,delhaize,intermarche,carrefour-fr,ketal,farmacorp,ic-norte","en:milk,en:nuts","en:milk,en:nuts,en:peanuts",100g,100g,1791.0,426.0,13.3,g,7.6,g,72.9,g,66.2,g,2.8,g,2.2,g,0.01,g,0.004,g,1791.0,kJ,,,,,,,en:blister,en:plastic,en:film,en:paper,https://www.nestle.co.uk/,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",4.0,en:4-ultra-processed-food-and-drink-products,e,20.0,d,25.0,,31072.0,5,-15,1,10,-10.0,"App - yuka, Apps, Producers, Producer - nestle-france, Database - Equadis, Database - GDSN, Databases, App - Horizon, App - InFood, App - IsVe, App - Open Food Facts, App - smoothie-openfoodfacts",After Eight,"Azúcar, pasta de cacao, jarabe de glucosa, grasas vegetales (palma, shea, palmiste), manteca de cacao, grasa LÁCTEA anhidra, emulgente (lecitinas), estabilizante (invertasa), aceite natural de menta, acidulante (ácido cítrico)."
es,180 ,25.7g,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:white-chocolates","en:no-gluten,en:sustainable-farming,en:nutriscore,en:nutriscore-grade-e,en:rainforest-alliance,en:utz-certified","en:andorra,en:spain",,en:milk,"en:nuts,en:peanuts,en:soybeans",100g,100g,,558.0,33.7,g,20.6,g,56.0,g,56.0,g,0.0,g,7.6,g,0.25,g,0.1,g,558.0,kcal,,,,,,,,,,,,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",4.0,en:4-ultra-processed-food-and-drink-products,e,27.0,d,39.0,1.0,31010.0,-5,-15,1,20,,"App - yuka, Apps",Chocolate Blanco,"Azúcar, LECHE en polvo, manteca de cacao', suero de LECHE en polvo, emulgente (lecitinas), aroma natural de vainilla. Puede contener CACAHUETES, FRUTOS DE CÁSCARA Y SOJA."
