lc,quantity,serving_size,packaging_tags,brands_tags,categories_tags,labels_tags,countries_tags,stores_tags,allergens_tags,traces_tags,nutrition_data_per,nutrition_data_prepared_per,energy-kj_value,energy-kcal_value,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,fiber_value,fiber_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,vitamin-d_value,vitamin-d_unit,calcium_value,calcium_unit,iron_value,iron_unit,packaging_1_shape,packaging_1_material,packaging_2_shape,packaging_2_material,link,off:food_groups,off:food_groups_tags,off:nova_groups,off:nova_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_grade,off:ecoscore_score,off:ecoscore_data.missing_key_data,off:ecoscore_data.agribalyse.code,off:ecoscore_data.adjustments.origins_of_ingredients.value,off:ecoscore_data.adjustments.packaging.value,off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials,off:ecoscore_data.adjustments.production_system.value,off:ecoscore_data.adjustments.threatened_species.value,data_sources,product_name,ingredients
en,41,,"en:plastic,en:pp-polypropylene",nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:bars,en:biscuits-and-cakes,en:chocolate-candies,en:biscuits,en:wafers,en:bars-covered-with-chocolate,en:chocolate-biscuity-bars","en:green-dot,en:nestle-cocoa-plan","en:france,en:morocco,en:romania,en:spain",,"en:gluten,en:milk",,100g,100g,,514.0,26.8,g,15.0,g,59.0,g,45.7,g,2.5,g,7.8,g,0.14,g,0.056,g,514.0,kcal,,,,,,,,en:pp-5-polypropylene,,,,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",4.0,en:4-ultra-processed-food-and-drink-products,e,24.0,d,30.0,,31000.0,-5,-8,0,0,-10.0,"App - yuka, Apps, App - InFood",Kit kat,"sugar, wheat flour, cocoa butter, lean milk powder, palm fat, cocoa paste, butter oil, whey powder, lean cocoa powder, emulsifier (sunflower lecithin), flavourings, salt, chemical levee (baking soda),"
de,200,,"en:glass,de:produkt","nescafe,nestle","en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:coffees,en:instant-beverages,en:instant-coffees",,"en:france,en:germany,en:spain",lidl,,,100g,100g,,120.0,0.2,g,0.1,g,3.0,g,3.0,g,33.0,g,8.0,g,0.1,g,0.04,g,120.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,e,-20.0,1.0,18005.0,-5,-15,1,0,,"App - elcoco, App - yuka, Apps, App - El CoCo, App - InFood, App - Speisekammer, App - smoothie-openfoodfacts",Classic Löslicher Bohnenkaffee,Café
fr,,100 g,,nestle,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals","en:nutriscore,en:nutriscore-grade-a","en:france,en:spain",,,,100g,100g,1577.0,377.0,2.5,g,0.8,g,70.0,g,25.0,g,7.0,g,15.0,g,,,,,1577.0,kJ,,,,,,,,,,,,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",,unknown,unknown,,d,25.0,1.0,32135.0,-5,-15,1,0,,"App - elcoco, App - yuka, Apps, App - El CoCo, App - macrofactor",Pensal,
es,,,,nestle,,,en:spain,,,,100g,100g,,50.0,1.0,g,0.7,g,7.9,g,7.7,g,,,2.4,g,0.11,g,0.044,g,50.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Yoco Frutas variadas,
fr,170 G,17.0g,,nestle,,"en:nutriscore,en:nutriscore-grade-e,en:rainforest-alliance",en:spain,,"en:gluten,en:milk,en:nuts",,100g,100g,,534.0,31.8999996185303,g,16.5,g,49.9000015258789,g,40.5,g,7.59999990463257,g,8.10000038146973,g,0.06,g,0.024,g,534.0,kcal,,,,,,,,,,,,,,4.0,en:4-ultra-processed-food-and-drink-products,unknown,,unknown,,1.0,,-5,-15,1,10,,,L’atelier chocolat  biscuit & caramel aux amandes,"Pâte de cacao, sucre, biscuits(8%), farine de blé, huile de coco, amidon de pommes de terre, sirop de sucre inverti beurre, lait, écrémé en poudre, sirop de glucose, matière grasse de lait anhydre, extrait de malt d'orge poudre à lever (carbonates de sodium, carbonates d'ammonium), sel arôme naturel, caramel aux amandes (8%) sucre, amandes (3.7%), miel, fructose, blanc d'oeuf en poudre matière grasse de lait anhydre, beure de cacao, émulsifiant (lécithines) arôme naturel de vanille, cacao 54% minimum."
en,,45.0g,,nestle,,,en:spain,,,,100g,100g,,500.0,24.2999992370605,g,13.5,g,62.2000007629395,g,49.2999992370605,g,2.29999995231628,g,7.0,g,,,,,500.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Kitkat caramel flavour,
es,400 ,30 g,,"nestle,lion","en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:chocolate-cereals,en:extruded-cereals","en:no-artificial-flavors,en:no-artificial-colors,en:no-artificial-colours-or-flavours,en:no-palm-oil,en:nutriscore,en:nutriscore-grade-c","en:portugal,en:spain",,"en:gluten,en:milk","en:nuts,en:peanuts",100g,100g,1720.0,408.0,7.9,g,1.4,g,72.8,g,25.0,g,6.7,g,8.2,g,0.49,g,0.196,g,1720.0,kJ,2.5,µg,500.0,mg,8.3,mg,en:box,en:cardboard,,,,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",4.0,en:4-ultra-processed-food-and-drink-products,c,8.0,d,39.0,,32135.0,-5,-1,0,0,,"App - yuka, Apps, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts",Caramelo & Chocolate,"Cereales (64,3%) [_trigo_ integral (41,3%), harina de _trigo_ (23%)], azúcar, jarabe de glucosa, crema de caramelo (6,3%) [_leche_ condensada (3,2%) (_leche_, azúcar), azúcar, jarabe de glucosa, jarabe de azúcar caramelizado, sal], aceite de girasol, chocolate (4,2%) [azúcar, cacao en polvo (1,5%), cacao (0,8%), cacao desgrasado en polvo (0,2%)], vitaminas y minerales (vitamina D, tiamina, riboflavina, niacina, vitamina B6, ácido fólico, ácido pantoténico, carbonato cálcico, hierro), sal, aromas naturales, emulgente (lecitina de girasol), jarabe de azúcar caramelizado."
es,120 ,120 g,en:plastic,"maggi,nestle","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:dried-products,en:pastas,en:dried-products-to-be-rehydrated,en:noodles,en:instant-noodles,en:tagliatelle","en:no-palm-oil,en:nutriscore","en:france,en:spain",,"en:celery,en:gluten","en:eggs,en:milk,en:mustard",serving,100g,667.0,260.0,10.4,g,0.8,g,34.9,g,4.3,g,2.5,g,5.3,g,2.1625,g,0.865,g,667.0,kJ,,,,,,,en:bag,en:plastic,,,,en:cereals,"en:cereals-and-potatoes,en:cereals",4.0,en:4-ultra-processed-food-and-drink-products,unknown,,b,67.0,,9863.0,-5,-10,1,0,,"App - yuka, Apps, App - Open Food Facts, App - macrofactor",Fusian yakisoba fideos orientales sabor pollo,"Fideos fritos (76,7%): harina de trigo, aceite de girasol, gluten de trigo, sal, corrector de acidez (carbonato potásico), estabilizante (polifosfato sódico). Salsa (12,5%): agua, azúcar, aceite de girasol, sal, azúcar caramelizado, tomate en polvo, extracto de levadura, salsa de soja en polvo (contiene gluten), corrector de acidez (ácido cítrico), aceite de sésamo, almidón de maíz. Hortalizas deshidratadas (6,6%): col, zanahoria 1,5%, cebollino 0,8%. Condimento (4,2%): sal, azúcar, aroma natural, extracto de levadura, almidón de maíz, aromas (pollo, vacuno, levístico), nortalizas deshidratadas (ajo, cebolla, apio), especias (cúrcuma 0,06%, jengibre 0,04%, pimienta negra), aceite de girasol. Puede contener leche, huevo y mostaza."
es,475 ,,,nestle,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:baby-foods,en:breakfast-cereals,en:cereals-for-babies,es:papilla",en:green-dot,en:spain,,,,100g,100g,1703.0,407.0,4.6,g,0.8,g,80.0,g,23.0,g,5.0,g,9.0,g,0.0975,g,0.039,g,1703.0,kJ,,,0.18,g,0.0086,g,,,,,,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",,unknown,not-applicable,,d,25.0,1.0,32135.0,-5,-15,1,0,,"App - smoothie-openfoodfacts, Apps, App - macrofactor",Papilla 8 Cereales Con Miel,
es,43,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,Crunch rocks,
